2023-05-18 03:39:28,823 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.2 | op=SEND_HEARTBEAT {datanodeUUID=80afeb4a-5cfb-4626-93a4-6f5c88d4d0cc, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:39:28,941 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.13 | op=SEND_HEARTBEAT {datanodeUUID=778d6059-a334-4d84-a7e0-c27a5c019c39, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:39:28,954 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.8 | op=SEND_HEARTBEAT {datanodeUUID=b7b3c409-7348-4767-a951-97148288ec3e, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:39:29,351 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.5 | op=SEND_HEARTBEAT {datanodeUUID=375020a9-c396-44e1-b26e-96302662c980, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:39:54,347 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.14 | op=GET_CONTAINER_WITH_PIPELINE_BATCH {containerIDs=#1,} | ret=SUCCESS |  
2023-05-18 03:39:57,110 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.14 | op=GET_CONTAINER_WITH_PIPELINE_BATCH {containerIDs=#2,} | ret=SUCCESS |  
2023-05-18 03:39:58,788 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.7 | op=SEND_HEARTBEAT {datanodeUUID=43529ebf-b7a6-4f12-8424-99f82fcb4698, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:39:58,851 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.2 | op=SEND_HEARTBEAT {datanodeUUID=80afeb4a-5cfb-4626-93a4-6f5c88d4d0cc, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:39:58,945 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.13 | op=SEND_HEARTBEAT {datanodeUUID=778d6059-a334-4d84-a7e0-c27a5c019c39, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:39:58,957 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.8 | op=SEND_HEARTBEAT {datanodeUUID=b7b3c409-7348-4767-a951-97148288ec3e, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:39:59,349 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.5 | op=SEND_HEARTBEAT {datanodeUUID=375020a9-c396-44e1-b26e-96302662c980, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:40:00,524 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.14 | op=GET_CONTAINER_WITH_PIPELINE_BATCH {containerIDs=#3,} | ret=SUCCESS |  
2023-05-18 03:40:03,146 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.14 | op=GET_CONTAINER_WITH_PIPELINE_BATCH {containerIDs=#3,} | ret=SUCCESS |  
2023-05-18 03:40:06,229 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.14 | op=GET_CONTAINER_WITH_PIPELINE_BATCH {containerIDs=#3,} | ret=SUCCESS |  
2023-05-18 03:40:09,218 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.14 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1, allocated=1} | ret=SUCCESS |  
2023-05-18 03:40:10,761 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.14 | op=GET_CONTAINER_WITH_PIPELINE_BATCH {containerIDs=#1,} | ret=SUCCESS |  
2023-05-18 03:40:10,800 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.14 | op=GET_CONTAINER_WITH_PIPELINE_BATCH {containerIDs=#1,} | ret=SUCCESS |  
2023-05-18 03:40:14,340 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.14 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1, allocated=1} | ret=SUCCESS |  
2023-05-18 03:40:16,027 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.14 | op=GET_CONTAINER_WITH_PIPELINE_BATCH {containerIDs=#1,} | ret=SUCCESS |  
2023-05-18 03:40:16,073 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.14 | op=GET_CONTAINER_WITH_PIPELINE_BATCH {containerIDs=#1,} | ret=SUCCESS |  
2023-05-18 03:40:19,479 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.14 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1, allocated=1} | ret=SUCCESS |  
2023-05-18 03:40:21,161 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.7 | op=SEND_HEARTBEAT {datanodeUUID=43529ebf-b7a6-4f12-8424-99f82fcb4698, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:40:21,162 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.9 | op=GET_CONTAINER_WITH_PIPELINE {containerID=#4} | ret=SUCCESS |  
2023-05-18 03:40:21,210 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.2 | op=SEND_HEARTBEAT {datanodeUUID=80afeb4a-5cfb-4626-93a4-6f5c88d4d0cc, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:40:21,275 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.5 | op=SEND_HEARTBEAT {datanodeUUID=375020a9-c396-44e1-b26e-96302662c980, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:40:21,420 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.14 | op=GET_CONTAINER_WITH_PIPELINE_BATCH {containerIDs=#4,} | ret=SUCCESS |  
2023-05-18 03:40:21,455 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.14 | op=GET_CONTAINER_WITH_PIPELINE_BATCH {containerIDs=#4,} | ret=SUCCESS |  
2023-05-18 03:40:24,370 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.14 | op=GET_CONTAINER_WITH_PIPELINE_BATCH {containerIDs=#1,} | ret=SUCCESS |  
2023-05-18 03:40:28,926 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.13 | op=SEND_HEARTBEAT {datanodeUUID=778d6059-a334-4d84-a7e0-c27a5c019c39, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:40:28,945 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.8 | op=SEND_HEARTBEAT {datanodeUUID=b7b3c409-7348-4767-a951-97148288ec3e, term=2, command=[]} | ret=SUCCESS |  
2023-05-18 03:40:29,143 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.14 | op=GET_CONTAINER_WITH_PIPELINE_BATCH {containerIDs=#1,} | ret=SUCCESS |  
2023-05-18 03:40:33,639 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.14 | op=GET_CONTAINER_WITH_PIPELINE_BATCH {containerIDs=#1,} | ret=SUCCESS |  
2023-05-18 03:40:38,655 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.14 | op=GET_CONTAINER_WITH_PIPELINE_BATCH {containerIDs=#1,} | ret=SUCCESS |  
