2023-09-23 09:50:40,542 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/105]} | ret=SUCCESS |  
2023-09-23 09:50:40,624 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/102]} | ret=SUCCESS |  
2023-09-23 09:50:40,701 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/103]} | ret=SUCCESS |  
2023-09-23 09:50:40,764 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/110]} | ret=SUCCESS |  
2023-09-23 09:50:40,853 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/111]} | ret=SUCCESS |  
2023-09-23 09:50:41,072 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/106]} | ret=SUCCESS |  
2023-09-23 09:50:41,076 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/104]} | ret=SUCCESS |  
2023-09-23 09:50:41,088 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/108]} | ret=SUCCESS |  
2023-09-23 09:50:41,088 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/109]} | ret=SUCCESS |  
2023-09-23 09:50:41,157 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/112]} | ret=SUCCESS |  
2023-09-23 09:50:41,187 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/114]} | ret=SUCCESS |  
2023-09-23 09:50:41,544 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/113]} | ret=SUCCESS |  
2023-09-23 09:50:41,661 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/116]} | ret=SUCCESS |  
2023-09-23 09:50:41,710 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/115]} | ret=SUCCESS |  
2023-09-23 09:50:41,738 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/118]} | ret=SUCCESS |  
