2023-03-16 15:09:01,910 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg63]} | ret=SUCCESS |  
2023-03-16 15:09:01,933 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg65]} | ret=SUCCESS |  
2023-03-16 15:09:01,937 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg62]} | ret=SUCCESS |  
2023-03-16 15:09:01,996 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg54]} | ret=SUCCESS |  
2023-03-16 15:09:02,024 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg66]} | ret=SUCCESS |  
2023-03-16 15:09:02,053 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg68]} | ret=SUCCESS |  
2023-03-16 15:09:02,061 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg69]} | ret=SUCCESS |  
2023-03-16 15:09:02,093 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg72]} | ret=SUCCESS |  
2023-03-16 15:09:02,135 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg67]} | ret=SUCCESS |  
2023-03-16 15:09:02,205 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg76]} | ret=SUCCESS |  
2023-03-16 15:09:02,219 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg75]} | ret=SUCCESS |  
2023-03-16 15:09:02,248 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg70]} | ret=SUCCESS |  
2023-03-16 15:09:02,256 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg71]} | ret=SUCCESS |  
2023-03-16 15:09:02,272 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg73]} | ret=SUCCESS |  
2023-03-16 15:09:02,288 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg74]} | ret=SUCCESS |  
2023-03-16 15:09:02,465 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg78]} | ret=SUCCESS |  
2023-03-16 15:09:02,513 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg80]} | ret=SUCCESS |  
2023-03-16 15:09:02,518 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg77]} | ret=SUCCESS |  
2023-03-16 15:09:02,520 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[s3bg86]} | ret=SUCCESS |  
